WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 2 probes...
13:52:23 pid=21503 comm=kworker/7:0 fence_wait_ms=23
13:52:23 pid=24253 comm=kworker/2:2 fence_wait_ms=24
13:52:23 pid=19709 comm=kworker/1:1 fence_wait_ms=24
13:52:23 pid=6864 comm=kworker/3:1 fence_wait_ms=23
13:52:24 pid=19709 comm=kworker/1:1 fence_wait_ms=24
13:52:24 pid=10797 comm=kworker/6:1 fence_wait_ms=24
13:52:24 pid=24253 comm=kworker/2:2 fence_wait_ms=23
13:52:24 pid=6856 comm=kworker/0:0 fence_wait_ms=23
13:52:24 pid=6859 comm=kworker/4:2 fence_wait_ms=24
13:52:24 pid=6859 comm=kworker/4:2 fence_wait_ms=23
13:52:24 pid=6859 comm=kworker/4:2 fence_wait_ms=24
13:52:24 pid=21503 comm=kworker/7:0 fence_wait_ms=23
13:52:25 pid=21503 comm=kworker/7:0 fence_wait_ms=23
13:52:25 pid=2074 comm=kworker/5:0 fence_wait_ms=23
13:52:25 pid=6864 comm=kworker/3:1 fence_wait_ms=23
13:52:25 pid=24253 comm=kworker/2:2 fence_wait_ms=23
13:52:26 pid=6864 comm=kworker/3:1 fence_wait_ms=23
13:52:26 pid=6864 comm=kworker/3:1 fence_wait_ms=23
13:52:26 pid=6859 comm=kworker/4:2 fence_wait_ms=24
13:52:26 pid=2074 comm=kworker/5:0 fence_wait_ms=24
13:52:26 pid=2074 comm=kworker/5:0 fence_wait_ms=23
13:52:27 pid=6864 comm=kworker/3:1 fence_wait_ms=24
13:52:27 pid=19709 comm=kworker/1:1 fence_wait_ms=23
13:52:27 pid=6864 comm=kworker/3:1 fence_wait_ms=23
13:52:27 pid=6856 comm=kworker/0:0 fence_wait_ms=23
13:52:27 pid=21503 comm=kworker/7:0 fence_wait_ms=23
13:52:27 pid=19709 comm=kworker/1:1 fence_wait_ms=23
13:52:28 pid=24253 comm=kworker/2:2 fence_wait_ms=24
13:52:28 pid=6864 comm=kworker/3:1 fence_wait_ms=23
13:52:28 pid=6859 comm=kworker/4:2 fence_wait_ms=24
13:52:28 pid=6856 comm=kworker/0:0 fence_wait_ms=23
13:52:28 pid=24253 comm=kworker/2:2 fence_wait_ms=24
13:52:28 pid=6864 comm=kworker/3:1 fence_wait_ms=25
13:52:29 pid=6856 comm=kworker/0:0 fence_wait_ms=24
13:52:29 pid=6859 comm=kworker/4:2 fence_wait_ms=24
13:52:29 pid=6859 comm=kworker/4:2 fence_wait_ms=23
13:52:29 pid=24253 comm=kworker/2:2 fence_wait_ms=23
13:52:29 pid=6859 comm=kworker/4:2 fence_wait_ms=23
13:52:30 pid=24253 comm=kworker/2:2 fence_wait_ms=23
13:52:30 pid=19709 comm=kworker/1:1 fence_wait_ms=24
13:52:30 pid=10797 comm=kworker/6:1 fence_wait_ms=23
13:52:30 pid=2074 comm=kworker/5:0 fence_wait_ms=23
13:52:30 pid=10797 comm=kworker/6:1 fence_wait_ms=24
13:52:30 pid=21503 comm=kworker/7:0 fence_wait_ms=23
13:52:30 pid=10797 comm=kworker/6:1 fence_wait_ms=23
13:52:30 pid=6856 comm=kworker/0:0 fence_wait_ms=23
13:52:31 pid=24253 comm=kworker/2:2 fence_wait_ms=24
13:52:31 pid=6859 comm=kworker/4:2 fence_wait_ms=24
13:52:31 pid=6856 comm=kworker/0:0 fence_wait_ms=24
13:52:31 pid=19709 comm=kworker/1:1 fence_wait_ms=23
13:52:32 pid=10797 comm=kworker/6:1 fence_wait_ms=23
13:52:32 pid=10797 comm=kworker/6:1 fence_wait_ms=23
13:52:32 pid=6864 comm=kworker/3:1 fence_wait_ms=23
13:52:32 pid=19709 comm=kworker/1:1 fence_wait_ms=23
13:52:32 pid=19709 comm=kworker/1:1 fence_wait_ms=23
13:52:32 pid=6856 comm=kworker/0:0 fence_wait_ms=24
13:52:32 pid=19709 comm=kworker/1:1 fence_wait_ms=25
13:52:32 pid=6864 comm=kworker/3:1 fence_wait_ms=24
13:52:33 pid=6856 comm=kworker/0:0 fence_wait_ms=23
13:52:33 pid=6856 comm=kworker/0:0 fence_wait_ms=24
13:52:33 pid=6856 comm=kworker/0:0 fence_wait_ms=23
13:52:33 pid=6859 comm=kworker/4:2 fence_wait_ms=6
13:52:34 pid=6856 comm=kworker/0:0 fence_wait_ms=6
13:52:34 pid=2074 comm=kworker/5:0 fence_wait_ms=23
13:52:34 pid=21503 comm=kworker/7:0 fence_wait_ms=24
13:52:34 pid=19709 comm=kworker/1:1 fence_wait_ms=23
13:52:34 pid=21503 comm=kworker/7:0 fence_wait_ms=23
13:52:34 pid=2074 comm=kworker/5:0 fence_wait_ms=24
13:52:34 pid=19709 comm=kworker/1:1 fence_wait_ms=23
13:52:35 pid=19709 comm=kworker/1:1 fence_wait_ms=23
13:52:35 pid=6856 comm=kworker/0:0 fence_wait_ms=23
13:52:35 pid=24253 comm=kworker/2:2 fence_wait_ms=23
13:53:43 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
13:53:44 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
13:56:47 pid=10800 comm=kworker/12:0 fence_wait_ms=24
13:56:47 pid=19709 comm=kworker/1:1 fence_wait_ms=24
13:56:47 pid=17381 comm=kworker/9:2 fence_wait_ms=6
13:56:47 pid=6856 comm=kworker/0:0 fence_wait_ms=24
13:56:47 pid=11301 comm=kworker/11:0 fence_wait_ms=25
13:56:48 pid=2075 comm=kworker/6:0 fence_wait_ms=23
13:56:48 pid=12407 comm=kworker/7:2 fence_wait_ms=24
13:56:48 pid=11364 comm=kworker/13:1 fence_wait_ms=6
13:56:48 pid=12404 comm=kworker/10:2 fence_wait_ms=23
13:56:48 pid=12155 comm=kworker/14:2 fence_wait_ms=23
13:56:48 pid=2074 comm=kworker/5:0 fence_wait_ms=25
13:56:48 pid=12486 comm=kworker/15:2 fence_wait_ms=26
13:56:49 pid=12407 comm=kworker/7:2 fence_wait_ms=6
13:56:49 pid=12407 comm=kworker/7:2 fence_wait_ms=24
13:56:49 pid=6864 comm=kworker/3:1 fence_wait_ms=24
13:56:49 pid=19709 comm=kworker/1:1 fence_wait_ms=23
13:56:50 pid=2074 comm=kworker/5:0 fence_wait_ms=24
13:56:50 pid=6856 comm=kworker/0:0 fence_wait_ms=24
13:56:50 pid=12403 comm=kworker/4:1 fence_wait_ms=24
13:56:50 pid=2075 comm=kworker/6:0 fence_wait_ms=6
13:56:50 pid=6864 comm=kworker/3:1 fence_wait_ms=24
13:56:50 pid=12403 comm=kworker/4:1 fence_wait_ms=24
13:56:50 pid=12403 comm=kworker/4:1 fence_wait_ms=25
13:56:50 pid=12403 comm=kworker/4:1 fence_wait_ms=6
13:56:51 pid=12407 comm=kworker/7:2 fence_wait_ms=25
13:56:51 pid=6864 comm=kworker/3:1 fence_wait_ms=24
13:56:51 pid=24253 comm=kworker/2:2 fence_wait_ms=24
13:56:51 pid=12407 comm=kworker/7:2 fence_wait_ms=23
13:56:51 pid=24253 comm=kworker/2:2 fence_wait_ms=24
13:56:51 pid=2074 comm=kworker/5:0 fence_wait_ms=23
13:56:52 pid=12407 comm=kworker/7:2 fence_wait_ms=23
13:56:52 pid=24253 comm=kworker/2:2 fence_wait_ms=23
13:56:52 pid=19709 comm=kworker/1:1 fence_wait_ms=24
13:56:52 pid=2075 comm=kworker/6:0 fence_wait_ms=24
13:56:52 pid=12407 comm=kworker/7:2 fence_wait_ms=24
13:56:53 pid=12403 comm=kworker/4:1 fence_wait_ms=24
13:56:53 pid=12403 comm=kworker/4:1 fence_wait_ms=23
13:56:53 pid=12403 comm=kworker/4:1 fence_wait_ms=23
13:56:53 pid=2074 comm=kworker/5:0 fence_wait_ms=23
13:56:53 pid=6864 comm=kworker/3:1 fence_wait_ms=23
13:56:53 pid=6856 comm=kworker/0:0 fence_wait_ms=23
13:56:53 pid=2074 comm=kworker/5:0 fence_wait_ms=23
13:56:53 pid=6856 comm=kworker/0:0 fence_wait_ms=6
13:56:54 pid=6864 comm=kworker/3:1 fence_wait_ms=24
13:56:54 pid=12403 comm=kworker/4:1 fence_wait_ms=24
13:56:54 pid=6856 comm=kworker/0:0 fence_wait_ms=24
13:56:54 pid=12403 comm=kworker/4:1 fence_wait_ms=6
13:56:54 pid=2074 comm=kworker/5:0 fence_wait_ms=25
13:56:55 pid=12486 comm=kworker/15:2 fence_wait_ms=25
13:56:55 pid=24253 comm=kworker/2:2 fence_wait_ms=23
13:56:55 pid=2074 comm=kworker/5:0 fence_wait_ms=24
13:56:55 pid=2075 comm=kworker/6:0 fence_wait_ms=25
13:56:55 pid=12403 comm=kworker/4:1 fence_wait_ms=23
13:56:56 pid=12403 comm=kworker/4:1 fence_wait_ms=24
13:56:56 pid=6856 comm=kworker/0:0 fence_wait_ms=6
