timestamp,pid,name,cpu_pct,rss_mb,io_read_mbs,io_write_mbs,threads
1773664264.417,10155,gamescopereaper[X-Plane],0.0,3,0.00,0.00,1
1773664264.417,10157,Main Thread[X-Plane],212.4,17433,0.00,0.00,104
1773664264.417,10162,handler[X-Plane],0.0,11,0.00,0.00,3
1773664264.417,10265,cefclient[X-Plane],0.0,104,0.00,0.00,1
1773664264.417,10266,cefclient[X-Plane],0.0,103,0.00,0.00,1
1773664264.417,10285,cefclient[X-Plane],0.0,176,0.00,0.00,8
1773664264.417,10812,cefclient[X-Plane],0.0,118,0.00,0.00,8
1773664264.417,13427,simon_lin64[X-Plane],0.0,3,0.00,0.00,2
1773664264.417,13462,qemu-system-x86,13.7,4130,0.00,0.00,11
1773664264.417,22041,python3[X-Plane],0.0,14,0.00,0.00,1
1773664265.437,8700,xearthlayer,0.0,8051,0.00,0.00,38
1773664265.437,10109,gamescope-wl[X-Plane],1.0,188,0.00,0.00,14
1773664265.437,10155,gamescopereaper[X-Plane],0.0,3,0.00,0.00,1
1773664265.437,10157,Main Thread[X-Plane],212.7,17433,0.00,0.00,104
1773664265.437,10162,handler[X-Plane],0.0,11,0.00,0.00,3
1773664265.437,10265,cefclient[X-Plane],0.0,104,0.00,0.00,1
1773664265.437,10266,cefclient[X-Plane],0.0,103,0.00,0.00,1
1773664265.437,10285,cefclient[X-Plane],0.0,176,0.00,0.00,8
1773664265.437,10812,cefclient[X-Plane],0.0,118,0.00,0.00,8
1773664265.437,13427,simon_lin64[X-Plane],0.0,3,0.00,0.00,2
1773664265.437,13462,qemu-system-x86,15.7,4130,0.00,0.00,11
1773664265.437,22041,python3[X-Plane],0.0,14,0.00,0.00,1
1773664266.456,8700,xearthlayer,1.0,8051,0.00,0.00,38
1773664266.456,10109,gamescope-wl[X-Plane],1.0,188,0.00,0.00,14
1773664266.456,10155,gamescopereaper[X-Plane],0.0,3,0.00,0.00,1
1773664266.456,10157,Main Thread[X-Plane],217.0,17433,0.00,0.01,104
1773664266.456,10162,handler[X-Plane],0.0,11,0.00,0.00,3
1773664266.456,10265,cefclient[X-Plane],0.0,104,0.00,0.00,1
1773664266.456,10266,cefclient[X-Plane],0.0,103,0.00,0.00,1
1773664266.456,10285,cefclient[X-Plane],0.0,176,0.00,0.00,8
1773664266.456,10812,cefclient[X-Plane],0.0,118,0.00,0.00,8
1773664266.456,13427,simon_lin64[X-Plane],0.0,3,0.00,0.00,2
1773664266.456,13462,qemu-system-x86,13.7,4130,0.00,0.00,11
1773664266.456,22041,python3[X-Plane],0.0,14,0.00,0.00,1
1773664267.475,8700,xearthlayer,0.0,8051,0.00,0.00,38
1773664267.475,10109,gamescope-wl[X-Plane],1.0,188,0.00,0.00,14
1773664267.475,10155,gamescopereaper[X-Plane],0.0,3,0.00,0.00,1
1773664267.475,10157,Main Thread[X-Plane],211.9,17433,0.00,0.00,104
1773664267.475,10162,handler[X-Plane],0.0,11,0.00,0.00,3
1773664267.475,10265,cefclient[X-Plane],0.0,104,0.00,0.00,1
1773664267.475,10266,cefclient[X-Plane],0.0,103,0.00,0.00,1
1773664267.475,10285,cefclient[X-Plane],0.0,176,0.00,0.00,8
1773664267.475,10812,cefclient[X-Plane],0.0,118,0.00,0.00,8
1773664267.475,13427,simon_lin64[X-Plane],0.0,3,0.00,0.00,2
1773664267.475,13462,qemu-system-x86,13.7,4130,0.00,0.00,11
1773664267.475,22041,python3[X-Plane],0.0,14,0.00,0.00,1
1773664268.501,8700,xearthlayer,1.0,8051,0.00,0.00,38
1773664268.501,10109,gamescope-wl[X-Plane],1.0,188,0.00,0.00,14
1773664268.501,10155,gamescopereaper[X-Plane],0.0,3,0.00,0.00,1
1773664268.501,10157,Main Thread[X-Plane],211.4,17433,0.00,0.00,104
1773664268.501,10162,handler[X-Plane],0.0,11,0.00,0.00,3
1773664268.501,10265,cefclient[X-Plane],0.0,104,0.00,0.00,1
1773664268.501,10266,cefclient[X-Plane],0.0,103,0.00,0.00,1
1773664268.501,10285,cefclient[X-Plane],0.0,176,0.00,0.00,8
1773664268.501,10812,cefclient[X-Plane],0.0,118,0.00,0.00,8
1773664268.501,13427,simon_lin64[X-Plane],0.0,3,0.00,0.00,2
1773664268.501,13462,qemu-system-x86,13.6,4130,0.00,0.00,11
1773664268.501,22041,python3[X-Plane],0.0,14,0.00,0.00,1
1773664269.520,8700,xearthlayer,1.0,8051,0.00,0.00,38
1773664269.520,10109,gamescope-wl[X-Plane],1.0,188,0.00,0.00,14
1773664269.520,10155,gamescopereaper[X-Plane],0.0,3,0.00,0.00,1
1773664269.520,10157,Main Thread[X-Plane],214.0,17433,0.00,0.00,104
1773664269.520,10162,handler[X-Plane],0.0,11,0.00,0.00,3
1773664269.520,10265,cefclient[X-Plane],0.0,104,0.00,0.00,1
1773664269.520,10266,cefclient[X-Plane],0.0,103,0.00,0.00,1
1773664269.520,10285,cefclient[X-Plane],0.0,176,0.00,0.00,8
1773664269.520,10812,cefclient[X-Plane],0.0,118,0.00,0.00,8
1773664269.520,13427,simon_lin64[X-Plane],0.0,3,0.00,0.00,2
1773664269.520,13462,qemu-system-x86,14.7,4130,0.00,0.00,11
1773664269.520,22041,python3[X-Plane],0.0,14,0.00,0.00,1
1773664270.540,8700,xearthlayer,1.0,8051,0.00,0.00,38
1773664270.540,10109,gamescope-wl[X-Plane],2.0,188,0.00,0.00,14
1773664270.540,10155,gamescopereaper[X-Plane],0.0,3,0.00,0.00,1
1773664270.540,10157,Main Thread[X-Plane],233.3,17433,5.22,0.00,104
1773664270.540,10162,handler[X-Plane],0.0,11,0.00,0.00,3
1773664270.540,10265,cefclient[X-Plane],0.0,104,0.00,0.00,1
1773664270.540,10266,cefclient[X-Plane],0.0,103,0.00,0.00,1
