WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 2 probes...
15:24:33 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:33 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:33 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:33 pid=172 comm=kworker/12:1 fence_wait_ms=23
15:24:34 pid=175 comm=kworker/14:1 fence_wait_ms=24
15:24:34 pid=23415 comm=kworker/7:2 fence_wait_ms=25
15:24:34 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:24:34 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:24:34 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:35 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:24:35 pid=709 comm=kworker/5:3 fence_wait_ms=24
15:24:35 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:35 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:35 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:35 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:35 pid=709 comm=kworker/5:3 fence_wait_ms=24
15:24:36 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:36 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:36 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:36 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:36 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:36 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:36 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:36 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:36 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:37 pid=21897 comm=kworker/3:2 fence_wait_ms=24
15:24:37 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:37 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:37 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:37 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:37 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:38 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:38 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:38 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:38 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:38 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:38 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:39 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:39 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:39 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:39 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:39 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:39 pid=21897 comm=kworker/3:2 fence_wait_ms=6
15:24:39 pid=152 comm=kworker/1:1 fence_wait_ms=25
15:24:40 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:40 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:40 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:40 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:40 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:40 pid=21897 comm=kworker/3:2 fence_wait_ms=6
15:24:40 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:40 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:40 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:41 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:41 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:41 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:41 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:41 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:41 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:41 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:42 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:42 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:42 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:42 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:42 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:42 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:42 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:43 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:43 pid=709 comm=kworker/5:3 fence_wait_ms=24
15:24:43 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:43 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:43 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:43 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:44 pid=227 comm=kworker/0:2 fence_wait_ms=24
15:24:44 pid=15043 comm=kworker/2:3 fence_wait_ms=25
15:24:44 pid=21936 comm=kworker/4:6 fence_wait_ms=25
15:24:44 pid=21936 comm=kworker/4:6 fence_wait_ms=24
15:24:44 pid=15043 comm=kworker/2:3 fence_wait_ms=6
15:24:44 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:44 pid=21882 comm=kworker/u65:5 fence_wait_ms=6
15:24:44 pid=227 comm=kworker/0:2 fence_wait_ms=24
15:24:45 pid=152 comm=kworker/1:1 fence_wait_ms=6
15:24:45 pid=152 comm=kworker/1:1 fence_wait_ms=6
15:24:45 pid=709 comm=kworker/5:3 fence_wait_ms=25
15:24:45 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:45 pid=709 comm=kworker/5:3 fence_wait_ms=24
15:24:45 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:46 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:46 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:46 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:46 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:46 pid=21936 comm=kworker/4:6 fence_wait_ms=6
15:24:47 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:47 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:47 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:47 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:47 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:47 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:47 pid=15043 comm=kworker/2:3 fence_wait_ms=6
15:24:48 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:48 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:48 pid=23415 comm=kworker/7:2 fence_wait_ms=23
15:24:48 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:24:48 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:48 pid=21936 comm=kworker/4:6 fence_wait_ms=22
15:24:48 pid=21897 comm=kworker/3:2 fence_wait_ms=24
15:24:48 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:49 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:49 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:49 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:49 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:49 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:49 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:49 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:49 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:49 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:49 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:50 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:50 pid=21897 comm=kworker/3:2 fence_wait_ms=24
15:24:50 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:50 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:50 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:50 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:51 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:51 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:51 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:51 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:51 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:51 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:52 pid=21897 comm=kworker/3:2 fence_wait_ms=25
15:24:52 pid=21897 comm=kworker/3:2 fence_wait_ms=24
15:24:52 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:52 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:52 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:24:53 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:53 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:53 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:53 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:53 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:53 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:53 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:54 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:54 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:24:54 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:54 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:54 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:54 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:54 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:54 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:55 pid=15043 comm=kworker/2:3 fence_wait_ms=25
15:24:55 pid=227 comm=kworker/0:2 fence_wait_ms=22
15:24:55 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:55 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:24:56 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:56 pid=227 comm=kworker/0:2 fence_wait_ms=24
15:24:56 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:56 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:56 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:56 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:57 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:57 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:57 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:57 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:57 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:24:57 pid=709 comm=kworker/5:3 fence_wait_ms=22
15:24:58 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:58 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:58 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:58 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:58 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:58 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:58 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:58 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:59 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:59 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:59 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:59 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:59 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:59 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:59 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:59 pid=152 comm=kworker/1:1 fence_wait_ms=6
15:24:59 pid=15043 comm=kworker/2:3 fence_wait_ms=22
15:25:00 pid=227 comm=kworker/0:2 fence_wait_ms=24
15:25:00 pid=227 comm=kworker/0:2 fence_wait_ms=22
15:25:00 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:25:00 pid=152 comm=kworker/1:1 fence_wait_ms=25
15:25:00 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:01 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:01 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:25:01 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:01 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:01 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:01 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:25:01 pid=152 comm=kworker/1:1 fence_wait_ms=6
15:25:02 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:25:02 pid=855 comm=kworker/6:2 fence_wait_ms=24
15:25:02 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:25:02 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:02 pid=227 comm=kworker/0:2 fence_wait_ms=23
