timestamp,rel_offset_s,category,message
1774181792.812,3088.2,DSF,"+48+006.dsf (5187ms)"
1774181806.951,3102.4,AIRPORT,"Loading sim objects for airport LSZF"
1774181807.444,3102.9,DSF,"+47+006.dsf (46ms)"
1774181807.513,3102.9,DSF,"+47+006.dsf (43ms)"
1774181807.513,3102.9,DSF,"+47+006.dsf (6ms)"
1774181807.613,3103.0,DSF,"+47+006.dsf (83ms)"
1774181807.867,3103.3,DSF,"+47+006.dsf (267ms)"
1774181807.897,3103.3,DSF,"+47+006.dsf (27ms)"
1774181807.959,3103.4,DSF,"+47+006.dsf (68ms)"
1774181813.575,3109.0,DSF,"+47+006.dsf (5572ms)"
1774181859.391,3154.8,AIRPORT,"Loading sim objects for airport XLS000D"
1774181901.158,3196.6,AIRPORT,"Loading sim objects for airport LSXH"
1774181945.191,3240.6,AIRPORT,"Loading sim objects for airport LSPO"
1774182055.607,3351.0,WEATHER,"Will fetch 'https://weatherservice.x-plane.com/api/v1/manifest/debug/2026-03-22T12:20:58Z' for epoch '1774182058"
1774182055.907,3351.3,WEATHER,"Parsing weather manifest ID '81178'"
1774182088.307,3383.7,AIRPORT,"Loading sim objects for airport LSPD"
1774182181.390,3476.8,AIRPORT,"Loading sim objects for airport XLF0022"
1774182192.690,3488.1,DSF,"+46+005.dsf (27ms)"
1774182192.723,3488.1,DSF,"+46+005.dsf (36ms)"
1774182192.723,3488.1,DSF,"+46+005.dsf (3ms)"
1774182192.790,3488.2,DSF,"+46+005.dsf (60ms)"
1774182192.957,3488.4,DSF,"+46+005.dsf (172ms)"
1774182193.024,3488.4,DSF,"+46+005.dsf (49ms)"
1774182193.057,3488.5,DSF,"+46+005.dsf (43ms)"
1774182198.440,3493.9,DSF,"+46+005.dsf (5342ms)"
1774182199.173,3494.6,DSF,"+48+005.dsf (28ms)"
1774182199.173,3494.6,DSF,"+48+005.dsf (24ms)"
1774182199.207,3494.6,DSF,"+48+005.dsf (16ms)"
1774182199.273,3494.7,DSF,"+48+005.dsf (54ms)"
1774182199.473,3494.9,DSF,"+48+005.dsf (198ms)"
1774182199.473,3494.9,DSF,"+48+005.dsf (18ms)"
1774182199.540,3495.0,DSF,"+48+005.dsf (51ms)"
1774182203.073,3498.5,DSF,"+48+005.dsf (3437ms)"
1774182215.522,3510.9,DSF,"+47+005.dsf (48ms)"
1774182215.522,3510.9,DSF,"+47+005.dsf (47ms)"
1774182215.577,3511.0,DSF,"+47+005.dsf (16ms)"
1774182215.647,3511.1,DSF,"+47+005.dsf (74ms)"
1774182215.889,3511.3,DSF,"+47+005.dsf (239ms)"
1774182215.909,3511.3,DSF,"+47+005.dsf (19ms)"
1774182215.975,3511.4,DSF,"+47+005.dsf (46ms)"
