Subscribing to 13 datarefs at 5 Hz...
  [ 0] frame_time_s              = sim/operation/misc/frame_rate_period
  [ 1] gpu_time_s                = sim/time/gpu_time_per_frame_sec_approx
  [ 2] framerate_period_s        = sim/time/framerate_period
  [ 3] lat                       = sim/flightmodel/position/latitude
  [ 4] lon                       = sim/flightmodel/position/longitude
  [ 5] elev_m                    = sim/flightmodel/position/elevation
  [ 6] agl_m                     = sim/flightmodel/position/y_agl
  [ 7] gs_ms                     = sim/flightmodel/position/groundspeed
  [ 8] ias_ms                    = sim/flightmodel/position/indicated_airspeed
  [ 9] tas_ms                    = sim/flightmodel/position/true_airspeed
  [10] sim_time_s                = sim/time/total_running_time_sec
  [11] paused                    = sim/time/paused
  [12] sim_speed                 = sim/time/sim_speed
  No response (attempt 1), retrying in 2s...
  No response (attempt 2), retrying in 2s...
  No response (attempt 3), retrying in 2s...
  No response (attempt 4), retrying in 3s...
  No response (attempt 5), retrying in 4s...
  No response (attempt 6), retrying in 4s...
  No response (attempt 7), retrying in 4s...
  No response (attempt 8), retrying in 5s...
Connected — receiving data from X-Plane (attempt 9)

Recording at 5 Hz to monitoring/run_ae/xplane_telemetry.csv
Max duration: 7200s. Press Ctrl+C to stop.

[  428.7s] FPS=29.5  CPU=12.15ms  GPU=21.70ms  Lat=47.453259  GS=0.0kts  (1931 samples)
[  438.7s] FPS=30.1  CPU=13.16ms  GPU=20.12ms  Lat=47.453259  GS=0.0kts  (1977 samples)
[  448.9s] FPS=29.7  CPU=14.13ms  GPU=19.54ms  Lat=47.453259  GS=0.0kts  (2024 samples)
[  459.1s] FPS=30.4  CPU=13.34ms  GPU=19.60ms  Lat=47.453259  GS=0.0kts  (2070 samples)
[  469.2s] FPS=29.3  CPU=14.67ms  GPU=19.40ms  Lat=47.453259  GS=0.0kts  (2116 samples)
[  479.5s] FPS=29.5  CPU=13.42ms  GPU=20.44ms  Lat=47.453259  GS=0.0kts  (2163 samples)
[  489.5s] FPS=29.0  CPU=13.70ms  GPU=20.81ms  Lat=47.453259  GS=0.0kts  (2208 samples)
[  499.6s] FPS=30.0  CPU=13.44ms  GPU=19.91ms  Lat=47.453259  GS=0.0kts  (2254 samples)
[  509.8s] FPS=29.7  CPU=13.67ms  GPU=19.99ms  Lat=47.453259  GS=0.0kts  (2300 samples)
[  519.9s] FPS=29.7  CPU=14.41ms  GPU=19.30ms  Lat=47.453259  GS=0.0kts  (2346 samples)
[  530.1s] FPS=30.1  CPU=14.07ms  GPU=19.16ms  Lat=47.453259  GS=0.0kts  (2392 samples)
[  540.1s] FPS=29.7  CPU=14.30ms  GPU=19.37ms  Lat=47.453259  GS=0.0kts  (2437 samples)
[  550.3s] FPS=24.9  CPU=27.97ms  GPU=12.25ms  Lat=47.453259  GS=0.0kts  (2484 samples)
[  560.4s] FPS=29.8  CPU=19.69ms  GPU=13.85ms  Lat=47.453259  GS=0.0kts  (2531 samples)
[  570.5s] FPS=41.6  CPU=5.53ms  GPU=18.50ms  Lat=47.453259  GS=0.0kts  (2577 samples)
[  580.5s] FPS=29.8  CPU=13.33ms  GPU=20.28ms  Lat=47.453259  GS=0.0kts  (2624 samples)
[  590.5s] FPS=31.4  CPU=12.30ms  GPU=19.52ms  Lat=47.453259  GS=0.0kts  (2667 samples)
[  600.7s] FPS=29.8  CPU=13.67ms  GPU=19.92ms  Lat=47.453259  GS=0.0kts  (2714 samples)
[  610.9s] FPS=30.6  CPU=20.58ms  GPU=12.16ms  Lat=47.453259  GS=0.0kts  (2761 samples)
[  621.0s] FPS=30.6  CPU=12.98ms  GPU=19.68ms  Lat=47.453259  GS=0.0kts  (2808 samples)
[  631.0s] FPS=29.7  CPU=14.45ms  GPU=19.24ms  Lat=47.453259  GS=0.0kts  (2854 samples)
[  641.1s] FPS=30.1  CPU=13.20ms  GPU=19.98ms  Lat=47.453259  GS=0.0kts  (2900 samples)
