WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 2 probes...
13:16:10 pid=5242 comm=kworker/u65:5 fence_wait_ms=8
13:16:10 pid=12742 comm=kworker/6:1 fence_wait_ms=23
13:16:10 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:11 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:11 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:11 pid=12562 comm=kworker/10:0 fence_wait_ms=6
13:16:11 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:11 pid=13256 comm=kworker/3:2 fence_wait_ms=6
13:16:11 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:12 pid=5216 comm=kworker/u65:1 fence_wait_ms=9
13:16:12 pid=11119 comm=kworker/5:0 fence_wait_ms=6
13:16:12 pid=5242 comm=kworker/u65:5 fence_wait_ms=7
13:16:12 pid=30404 comm=kworker/4:2 fence_wait_ms=24
13:16:12 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:13 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:13 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:13 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:14 pid=30404 comm=kworker/4:2 fence_wait_ms=23
13:16:14 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:14 pid=5216 comm=kworker/u65:1 fence_wait_ms=7
13:16:14 pid=5242 comm=kworker/u65:5 fence_wait_ms=9
13:16:14 pid=5216 comm=kworker/u65:1 fence_wait_ms=8
13:16:15 pid=30404 comm=kworker/4:2 fence_wait_ms=23
13:16:15 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:16:15 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:16:15 pid=13256 comm=kworker/3:2 fence_wait_ms=23
13:16:15 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:16:15 pid=11119 comm=kworker/5:0 fence_wait_ms=6
13:16:16 pid=30404 comm=kworker/4:2 fence_wait_ms=6
13:16:16 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:16:17 pid=12742 comm=kworker/6:1 fence_wait_ms=6
13:16:17 pid=12742 comm=kworker/6:1 fence_wait_ms=6
13:16:17 pid=229 comm=kworker/0:2 fence_wait_ms=6
13:16:17 pid=12402 comm=kworker/2:2 fence_wait_ms=23
13:16:17 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
